Timestamp,Name of the site,Short name for site,Latitude,Longitude,Altitude,Website,Image,timezone
6/26/2014 11:44:33,Kitt Peak National Observatory,KPNO,31:57.8,111:36.0,2120,http://www.noao.edu/kpno/,http://www.noao.edu/kpno/images/banner.jpg,7
6/26/2014 11:52:25,South African Astronomical Observatory,SAAO,-32:22:46,339:11:21.5,1798,http://www.saao.ac.za/,http://www.saao.ac.za/wp-content/uploads/SAAO-contentpage-header.jpg,-2
